# This file provides information to map coordinates from the BDGP release 5
# to release 6 assemblies.  The mapping is based on reciprocal best hit
# alignments.  Because of this some regions of release 5 that due to assembly
# artifacts are present in duplicate in other regions are absent from the
# mapping if the other region is contained in a better alignment.
#
# Coordinates in this file are represented as interbase for both releases.
# If you want on base (1-based) coordinates add 1 to each _start column.
#
# If the R6 strand is '-' it means that the R5 sequence needs to be reverse
# complemented to correspond to the R6 sequence and the start end coordinates
# for oriented features must also be reversed  eg. a gene that started at
# interbase coordinate 236880 of 2LHet in release 5 would start on the opposite
# strand at coordinate 1865892 of Y in release 6.
#
# r5_scaffold	r5_start	r5_end	r6_scaffold	r6_start	r6_end	r6_strand
2L	0	21485538	2L	0	21485538	+
2L	21485639	22420241	2L	21485639	22420241	+
2L	22420342	22990368	2L	22527610	23097636	+
2L	22990369	22991634	2L	23097636	23098901	+
2L	22991635	22992682	2L	23098901	23099948	+
2L	22992683	22994054	2L	23099948	23101319	+
2L	22994055	22994216	2L	23101319	23101480	+
2L	22994217	22994245	2L	23101480	23101508	+
2L	22994246	22994329	2L	23101508	23101591	+
2L	22994330	22994830	2L	23101591	23102091	+
2L	22994831	22994845	2L	23102091	23102105	+
2L	22994845	22994992	2L	23102106	23102253	+
2L	22994993	22995096	2L	23102253	23102356	+
2L	22995097	22995130	2L	23102356	23102389	+
2L	22995130	22995227	2L	23102390	23102487	+
2L	22995230	22995253	2L	23102487	23102510	+
2L	22995253	22995363	2L	23102511	23102621	+
2L	22995363	22995389	2L	23102622	23102648	+
2L	22995390	22995487	2L	23102648	23102745	+
2L	22995487	22995759	2L	23102748	23103020	+
2L	22995759	22995766	2L	23103021	23103028	+
2L	22995767	22995877	2L	23103028	23103138	+
2L	22995878	22996024	2L	23103138	23103284	+
2L	22996025	22996041	2L	23103284	23103300	+
2L	22996041	22996274	2L	23103301	23103534	+
2L	22996275	22996533	2L	23103534	23103792	+
2L	22996533	22996539	2L	23103793	23103799	+
2L	22996539	22996555	2L	23103800	23103816	+
2L	22996556	22997039	2L	23103816	23104299	+
2L	22997040	22997075	2L	23104299	23104334	+
2L	22997075	22997163	2L	23104335	23104423	+
2L	22997163	22997553	2L	23104424	23104814	+
2L	22997553	22997677	2L	23104815	23104939	+
2L	22997678	22997747	2L	23104939	23105008	+
2L	22997747	22997808	2L	23105011	23105072	+
2L	22997809	22997844	2L	23105072	23105107	+
2L	22997844	22997932	2L	23105108	23105196	+
2L	22997932	22998071	2L	23105197	23105336	+
2L	22998071	22998078	2L	23105337	23105344	+
2LHet	0	16945	2L	23141526	23158471	+
2LHet	16945	17066	2L	23158472	23158593	+
2LHet	17067	17112	2L	23158593	23158638	+
2LHet	17154	17309	2L	23158638	23158793	+
2LHet	17309	17326	2L	23158794	23158811	+
2LHet	17326	17343	2L	23158812	23158829	+
2LHet	17343	17358	2L	23158830	23158845	+
2LHet	17358	17371	2L	23158846	23158859	+
2LHet	17371	17443	2L	23158860	23158932	+
2LHet	17443	17445	2L	23158933	23158935	+
2LHet	17446	62233	2L	23158935	23203722	+
2LHet	120234	132402	2L	23264718	23276886	+
2LHet	132402	135931	2L	23276887	23280416	+
2LHet	135931	161616	2L	23280417	23306102	+
2LHet	161617	215626	2L	23306102	23360111	+
2LHet	215626	219395	2L	23360125	23363894	+
2LHet	236961	241163	2L	23381792	23385994	+
2LHet	241163	290400	2L	23385995	23435232	+
2LHet	290400	334984	2L	23435233	23479817	+
2LHet	334984	348066	2L	23479818	23492900	+
2LHet	348067	348068	2L	23492900	23492901	+
2LHet	348069	348193	2L	23492901	23493025	+
2LHet	348193	368872	2L	23493033	23513712	+
2LHet	236880	236955	Y	1865817	1865892	-
2LHet	236867	236869	Y	1865892	1865894	-
2LHet	236834	236858	Y	1865894	1865918	-
2LHet	236818	236834	Y	1865919	1865935	-
2LHet	236817	236818	Y	1865949	1865950	-
2LHet	236736	236817	Y	1865953	1866034	-
2LHet	236467	236736	Y	1866035	1866304	-
2LHet	236452	236467	Y	1866319	1866334	-
2LHet	236418	236452	Y	1866335	1866369	-
2LHet	236181	236417	Y	1866369	1866605	-
2LHet	236173	236181	Y	1866607	1866615	-
2LHet	236134	236171	Y	1866615	1866652	-
2LHet	236128	236131	Y	1866652	1866655	-
2LHet	236116	236127	Y	1866655	1866666	-
2LHet	236109	236112	Y	1866666	1866669	-
2LHet	236098	236107	Y	1866669	1866678	-
2LHet	235762	236098	Y	1866680	1867016	-
2LHet	235677	235761	Y	1867016	1867100	-
2LHet	235676	235677	Y	1867105	1867106	-
2LHet	235674	235676	Y	1867107	1867109	-
2LHet	235669	235673	Y	1867109	1867113	-
2LHet	235667	235668	Y	1867113	1867114	-
2LHet	235091	235665	Y	1867114	1867688	-
2LHet	235066	235088	Y	1867688	1867710	-
2LHet	235058	235059	Y	1867710	1867711	-
2LHet	234778	235056	Y	1867711	1867989	-
